"","Factor","df","LRT","F","p","label"
"29","stim_type:US_type",1,15.505785166406,1.45462317400658,0,"L_55b_ROI-lh"
"30","stim_type:US_type",1,7.60387038076442,0.727114678084556,0.02,"L_5L_ROI-lh"
"31","stim_type:US_type",1,2.51009290893853,0.238892124806224,0.139,"L_5m_ROI-lh"
"32","stim_type:US_type",1,3.32150213004206,0.314714355601808,0.109,"L_5mv_ROI-lh"
"33","stim_type:US_type",1,0.19462753087646,0.0185344018550259,0.565,"L_6a_ROI-lh"
"34","stim_type:US_type",1,0.765801955796633,0.0721839350309272,0.31,"L_6d_ROI-lh"
"35","stim_type:US_type",1,0.213518128646683,0.0204815985370515,0.513,"L_6ma_ROI-lh"
"36","stim_type:US_type",1,4.32893135765335,0.405853758172672,0.08,"L_6mp_ROI-lh"
"37","stim_type:US_type",1,6.3100465292373,0.603160710374374,0.049,"L_6r_ROI-lh"
"38","stim_type:US_type",1,2.84662940153066,0.27238274559038,0.118,"L_6v_ROI-lh"
"39","stim_type:US_type",1,4.13142936084478,0.392600280820838,0.072,"L_7AL_ROI-lh"
"40","stim_type:US_type",1,1.71002701766338,0.161956352782464,0.184,"L_7Am_ROI-lh"
"41","stim_type:US_type",1,14.3317678207495,1.37719262251586,0.005,"L_7PC_ROI-lh"
"42","stim_type:US_type",1,3.8356018094164,0.363662097713524,0.084,"L_7PL_ROI-lh"
"43","stim_type:US_type",1,0.0857012375163322,0.00820273057239328,0.673,"L_7Pm_ROI-lh"
"44","stim_type:US_type",1,0.0769288572919322,0.00736194672774176,0.677,"L_7m_ROI-lh"
"45","stim_type:US_type",1,12.0406744761058,1.15205858923252,0.007,"L_8Ad_ROI-lh"
"46","stim_type:US_type",1,4.09259843459222,0.388493592343735,0.072,"L_8Av_ROI-lh"
"47","stim_type:US_type",1,38.562661781114,3.7087475806819,0,"L_8BL_ROI-lh"
"48","stim_type:US_type",1,19.6010909110591,1.85732189892825,0.001,"L_8BM_ROI-lh"
"49","stim_type:US_type",1,2.56391329146936,0.243432771101428,0.145,"L_8C_ROI-lh"
"50","stim_type:US_type",1,4.13222864576528,0.391781369481169,0.071,"L_9-46d_ROI-lh"
"51","stim_type:US_type",1,6.33658796280361,0.597213003964147,0.04,"L_9a_ROI-lh"
"52","stim_type:US_type",1,2.61914188466471,0.249549504298323,0.142,"L_9m_ROI-lh"
"53","stim_type:US_type",1,12.6041305584986,1.19684046926215,0.008,"L_9p_ROI-lh"
